feature,importance
catalyst_emb_53,0.0005004963687639414
base_emb_554,0.0004977593389184013
catalyst_emb_447,0.0004971372977514906
base_emb_165,0.0004944736268720718
catalyst_emb_675,0.0004942056182189517
startingmat_1_smiles_emb_685,0.0004916089251472465
catalyst_emb_661,0.0004822429920722459
catalyst_emb_16,0.000478596866353718
startingmat_1_smiles_emb_734,0.0004759318315625785
catalyst_emb_207,0.00047582437480343944
base_emb_692,0.0004747344144940586
startingmat_1_smiles_emb_713,0.00047322193381805404
catalyst_emb_647,0.0004729881690913505
catalyst_emb_477,0.00047149717002494717
solvent_1_emb_148,0.0004703412061305104
catalyst_emb_581,0.0004690824130345584
catalyst_emb_196,0.00046857182293968307
startingmat_2_smiles_emb_658,0.0004673575031080529
startingmat_2_smiles_emb_281,0.00046310224467282823
product_1_smiles_emb_399,0.00046134197046384995
base_emb_219,0.0004605762314549356
catalyst_emb_284,0.00045992515845282684
catalyst_emb_631,0.0004595183230709914
startingmat_1_smiles_emb_679,0.00045913292058762437
base_emb_702,0.0004589457724150894
catalyst_emb_761,0.0004570933854538302
solvent_1_emb_505,0.0004568630792175613
additives_emb_109,0.0004538967660695429
base_emb_597,0.00045187876125648283
catalyst_emb_757,0.00044804894585585473
base_emb_585,0.0004463792256429052
startingmat_1_smiles_emb_337,0.0004459678114145788
base_emb_583,0.00044123956787906415
catalyst_emb_618,0.00044087140913673747
catalyst_emb_323,0.00044034152943324065
catalyst_emb_38,0.0004401416189438905
catalyst_emb_759,0.0004397491533462554
catalyst_emb_352,0.0004396224556896278
catalyst_emb_630,0.00043843843418265064
solvent_1_emb_543,0.0004360287918612145
solvent_1_emb_575,0.00043398803894909824
catalyst_emb_446,0.000432799487306763
base_emb_653,0.00043235748248698637
solvent_1_emb_556,0.0004290344577128687
solvent_1_emb_159,0.0004285050164095678
solvent_1_emb_570,0.00042385967922221933
catalyst_emb_262,0.0004218696833105668
catalyst_emb_470,0.00042063699938183987
product_1_smiles_emb_456,0.0004183606307199705
startingmat_2_smiles_emb_671,0.00041708303512672586
catalyst_emb_14,0.00041673864741724595
solvent_1_emb_540,0.000415531293277618
catalyst_emb_268,0.00041245508781381643
catalyst_emb_357,0.00041164141705014564
base_emb_529,0.00040788586177159704
base_emb_635,0.0004059000063062395
startingmat_1_smiles_emb_674,0.00040115045165008866
catalyst_emb_393,0.0004011178395466238
catalyst_emb_494,0.0004007908417115829
solvent_1_emb_164,0.000399966624987643
catalyst_emb_185,0.0003942545627012986
catalyst_emb_585,0.0003919484802483709
solvent_1_emb_550,0.0003919176948123891
startingmat_1_smiles_emb_355,0.0003900908324847603
catalyst_emb_55,0.0003895511131324212
base_emb_570,0.000389519645740579
catalyst_emb_391,0.0003894408554831414
catalyst_emb_686,0.0003882185957368514
catalyst_emb_200,0.000387395840346898
catalyst_emb_241,0.00038672788893724544
catalyst_emb_523,0.0003828767624159812
startingmat_2_smiles_emb_296,0.0003825664968550855
solvent_1_emb_757,0.0003807940205073201
solvent_1_emb_105,0.00037950035024022426
startingmat_1_smiles_emb_304,0.00037931787833644606
base_emb_215,0.00037880797019743107
product_1_smiles_emb_6,0.00037372895779402886
additives_emb_100,0.00037291708934227463
catalyst_emb_227,0.0003703575628649588
catalyst_emb_595,0.00036937004206803
solvent_1_emb_234,0.00036648702495724084
catalyst_emb_43,0.00036581515230139125
catalyst_emb_261,0.00036423647319579926
catalyst_emb_425,0.0003619979530841797
startingmat_2_smiles_emb_283,0.0003608631541769804
catalyst_emb_289,0.00035915322292383626
catalyst_emb_725,0.0003587706456861764
startingmat_2_smiles_emb_293,0.0003582917421832412
solvent_1_emb_206,0.0003574380552239073
base_emb_224,0.0003550027177798756
catalyst_emb_608,0.00035476600602963264
catalyst_emb_10,0.0003541732402535844
catalyst_emb_495,0.0003532555225100763
catalyst_emb_445,0.00034868315459978596
startingmat_2_smiles_emb_328,0.0003484909161138648
solvent_1_emb_163,0.00034716792174477356
startingmat_1_smiles_emb_350,0.0003460402346629751
solvent_1_emb_568,0.0003459209898096785
catalyst_emb_426,0.00034566642542923406
solvent_1_emb_147,0.00034544700613116445
startingmat_1_smiles_emb_309,0.00034335573977424896
base_emb_232,0.00034267278533566854
catalyst_emb_378,0.000340783183068887
product_1_smiles_emb_341,0.0003396763443519623
base_emb_533,0.0003388011757830272
product_1_smiles_emb_729,0.00033818230083975385
catalyst_emb_539,0.00033793621219643094
catalyst_emb_114,0.0003367116873824619
catalyst_emb_186,0.00033379946794750965
base_emb_593,0.00033327382611257356
catalyst_emb_702,0.000331587933803507
solvent_1_emb_161,0.0003314182729276769
startingmat_2_smiles_emb_655,0.00032890273260335407
startingmat_2_smiles_emb_294,0.0003281508032006119
catalyst_emb_100,0.0003273660912054398
startingmat_2_smiles_emb_270,0.00032639883423979014
catalyst_emb_190,0.000326124858472892
catalyst_emb_606,0.00032561137006561016
catalyst_emb_436,0.00032554356416863756
solvent_1_emb_16,0.00032519435405700225
solvent_1_emb_288,0.00032427790280294914
solvent_1_emb_67,0.0003240147652631174
solvent_1_emb_561,0.00032264057549336657
catalyst_emb_665,0.0003225545516326959
product_1_smiles_emb_756,0.0003209281843280119
catalyst_emb_324,0.00031997169252272927
product_1_smiles_emb_366,0.00031718836274538433
base_emb_262,0.000316299822970473
startingmat_1_smiles_emb_673,0.00031604284738895083
product_1_smiles_emb_720,0.00031579926736897143
base_emb_598,0.00031523463227216286
base_emb_258,0.0003146826133587709
catalyst_emb_329,0.00031426223628199413
catalyst_emb_604,0.00031134490217808914
catalyst_emb_601,0.00031132885185980436
catalyst_emb_363,0.0003099862269041614
catalyst_emb_680,0.00030911519878152135
solvent_1_emb_563,0.00030887220329513655
solvent_1_emb_762,0.0003081357153215182
catalyst_emb_216,0.00030652369344546805
catalyst_emb_195,0.0003054142243273677
solvent_1_emb_365,0.00030338691568792707
solvent_1_emb_506,0.0003029987123144192
solvent_1_emb_135,0.0003014008897336044
catalyst_emb_718,0.0003010524590000952
catalyst_emb_212,0.00030074526224057116
catalyst_emb_41,0.0003000179806710676
solvent_1_emb_455,0.00029999399043812293
catalyst_emb_72,0.0002999610130011614
solvent_1_emb_766,0.0002991315598304366
startingmat_1_smiles_emb_369,0.0002974407476969489
base_emb_168,0.00029694844863247097
startingmat_1_smiles_emb_714,0.00029651840239581703
base_emb_344,0.00029576771512696335
catalyst_emb_54,0.00029508946131270614
catalyst_emb_328,0.0002942890399771794
startingmat_1_smiles_emb_351,0.000293274387079235
startingmat_1_smiles_emb_680,0.0002917518475542902
solvent_1_emb_547,0.0002892977076129658
base_emb_562,0.00028742310837511214
catalyst_emb_34,0.0002871394634483368
catalyst_emb_479,0.00028682858899828004
solvent_1_emb_578,0.0002863748935066116
solvent_1_emb_195,0.00028612157126005566
product_1_smiles_emb_722,0.0002856134897885238
catalyst_emb_424,0.00028498818497570995
catalyst_emb_37,0.00028441894667684394
base_emb_41,0.00028431538680833557
startingmat_1_smiles_emb_320,0.0002839346605937252
catalyst_emb_638,0.0002835439242413075
solvent_1_emb_216,0.0002833397515278301
solvent_1_emb_214,0.0002830299730782633
catalyst_emb_345,0.00028139418016936643
catalyst_emb_670,0.00028134293605757397
product_1_smiles_emb_77,0.00027992787764733465
catalyst_emb_454,0.0002791388547169024
catalyst_emb_646,0.0002787226180864206
startingmat_1_smiles_emb_317,0.00027844657209637495
startingmat_1_smiles_emb_352,0.00027800239963118504
catalyst_emb_116,0.0002777242834179919
catalyst_emb_569,0.000277148152493823
startingmat_2_smiles_emb_271,0.00027691265852190214
solvent_1_emb_574,0.00027606235698630357
solvent_1_emb_710,0.00027338441374495014
solvent_1_emb_65,0.00027298788076771937
startingmat_1_smiles_emb_692,0.00027107121946662153
startingmat_2_smiles_emb_643,0.000269390514893207
catalyst_emb_298,0.00026702354352417605
startingmat_1_smiles_emb_328,0.0002665140981409234
catalyst_emb_276,0.0002660641777620534
base_emb_624,0.00026560183604429827
solvent_1_emb_152,0.0002654290089448308
catalyst_emb_222,0.00026424978548444256
